Latitude,Longitude,Station,Depth,Date,Oxygen,DIC,pH,Nitrate,Phosphate,NSTAR
45.5,-152,Station 159,57,06/10/2015,293.6,2046.4,7.8087,9.2,0.969,-2.96148
45.5,-152,Station 159,82,06/10/2015,294.2,2058.9,7.7857,11.45,1.1424,-3.417709
45.5,-152,Station 159,115,06/10/2015,240.8,2118.2,7.7177,17.12,1.3056,-0.756552
45.5,-152,Station 159,173,06/10/2015,207,2158.8,7.6425,22.49,1.6626,-1.054093
45.5,-152,Station 159,247,06/10/2015,146.4,2214.6,7.51,30.12,2.2032,-1.941145
45.5,-152,Station 159,331,06/10/2015,113,2250.8,7.4247,34.82,2.499,-1.969681
45.5,-152,Station 159,428,06/10/2015,77.3,2286.2,7.3659,38.63,2.7642,-2.346563
45.5,-152,Station 159,544,06/10/2015,48.7,2319,7.3268,41.17,2.9478,-2.692476
45.5,-152,Station 159,693,06/10/2015,28.8,2343.4,7.3105,42.82,3.0498,-2.676815
45.5,-152,Station 159,841,06/10/2015,20,2365.9,7.3054,43.7,3.111,-2.76312
45.5,-152,Station 159,989,06/10/2015,17.7,2377.5,7.3069,44.19,3.1416,-2.762772
45.5,-152,Station 159,1155,06/10/2015,14.5,2389.8,7.307,44.58,3.162,-2.707438
45.5,-152,Station 159,1384,06/10/2015,14.4,2396.1,7.3137,44.87,3.1518,-2.313156
45.5,-152,Station 159,1712,06/10/2015,33.1,2397.6,7.3565,43.79,3.0702,-2.116883
45.5,-152,Station 159,2105,06/10/2015,57.4,2388.5,7.4084,42.23,2.958,-1.91226
45.5,-152,Station 159,2497,06/10/2015,80.4,2375.7,7.4556,40.86,2.856,-1.684319
45.5,-152,Station 159,2922,06/10/2015,104,2358.8,7.5015,39.29,2.754,-1.630378
24.92,-115.050003,Station 111,4,06/12/2007,240.8,2019.2,7.9472,0.9338,0.21315,0.368358
24.92,-115.050003,Station 111,10,06/12/2007,240.7,2017.9,7.9483,0.8932,0.21315,0.333036
24.92,-115.050003,Station 111,14,06/12/2007,240.8,2019.9,7.9471,0.9033,0.21315,0.341867
24.92,-115.050003,Station 111,19,06/12/2007,241.3,2018.7,7.9448,0.8831,0.21315,0.324206
24.92,-115.050003,Station 111,25,06/12/2007,242,2018.5,7.9438,0.8831,0.21315,0.324206
24.92,-115.050003,Station 111,30,06/12/2007,243.6,2017.1,7.9498,0.7917,0.2233,0.103443
24.92,-115.050003,Station 111,41,06/12/2007,244.8,2017.8,7.9606,0.7613,0.23345,-0.064336
24.92,-115.050003,Station 111,50,06/12/2007,241.2,2029.2,NaN,0.8019,0.3045,-1.018031
24.92,-115.050003,Station 111,60,06/12/2007,236.8,2037.6,7.9222,1.0962,0.3451,-1.327098
24.92,-115.050003,Station 111,70,06/12/2007,221.9,2051.7,7.8565,3.8062,0.51765,-1.371294
24.92,-115.050003,Station 111,90,06/12/2007,141.7,2127.1,NaN,13.845,1.2688,-3.093546
24.92,-115.050003,Station 111,110,06/12/2007,119.2,2154.2,7.6207,18.321,1.5834,-3.578659
24.92,-115.050003,Station 111,130,06/12/2007,63.5,2208,7.5202,24.34,2.1315,-5.97168
24.92,-115.050003,Station 111,150,06/12/2007,42.7,2229.2,7.4873,25.669,2.2939,-7.076058
24.92,-115.050003,Station 111,174,06/12/2007,35.1,2241.9,7.4642,26.857,2.3853,-7.314785
24.92,-115.050003,Station 111,200,06/12/2007,31.6,2246.9,7.4526,27.75,2.436,-7.243622
24.92,-115.050003,Station 111,250,06/12/2007,11.4,2269.8,7.4237,28.075,2.6492,-9.928613
24.92,-115.050003,Station 111,347,06/12/2007,3.7,2289.2,7.3878,30.419,2.842,-10.57311
24.92,-115.050003,Station 111,497,06/12/2007,2.7,2313.7,7.266,37.078,3.0653,-7.888117
24.92,-115.050003,Station 111,793,06/12/2007,7.5,2343.7,7.3409,44.599,3.2277,-3.605455
24.92,-115.050003,Station 111,1485,06/12/2007,43.3,2373.1,7.4069,45.401,3.1364,-1.636817
24.92,-115.050003,Station 111,1979,06/12/2007,79.7,2372.3,7.4642,43.046,2.9435,-1.000499
24.92,-115.050003,Station 111,2469,06/12/2007,102.3,2366.3,7.5098,41.534,2.7912,-0.195923
24.92,-115.050003,Station 111,2960,06/12/2007,115.9,2361.3,7.4661,40.326,2.71,-0.11658
